test_num,num_features,neighbours,distance_metric,scaled,accuracy,train_t,test_t
1,10,5,euclidean,false,0.060,2.862,2.997
1,10,10,euclidean,false,0.062,2.746,5.349
1,10,15,euclidean,false,0.063,2.777,4.049
1,10,20,euclidean,false,0.063,3.018,4.624
1,10,25,euclidean,false,0.063,2.787,5.119
1,10,30,euclidean,false,0.062,2.750,5.709
1,10,35,euclidean,false,0.062,2.122,4.372
1,10,40,euclidean,false,0.062,3.133,7.029
1,10,45,euclidean,false,0.062,2.262,5.134
1,10,50,euclidean,false,0.062,2.197,6.498
1,10,5,manhattan,false,0.060,1.673,2.264
1,10,10,manhattan,false,0.062,1.715,3.128
1,10,15,manhattan,false,0.063,1.686,3.194
1,10,20,manhattan,false,0.063,1.885,4.147
1,10,25,manhattan,false,0.063,2.530,4.625
1,10,30,manhattan,false,0.062,2.387,4.125
1,10,35,manhattan,false,0.062,3.049,5.672
1,10,40,manhattan,false,0.063,1.691,5.234
1,10,45,manhattan,false,0.063,1.664,6.171
1,10,50,manhattan,false,0.063,2.460,6.665
1,10,5,euclidean,true,0.060,1.795,1.769
1,10,10,euclidean,true,0.062,1.775,2.913
1,10,15,euclidean,true,0.063,2.002,2.955
1,10,20,euclidean,true,0.063,2.660,3.588
1,10,25,euclidean,true,0.063,2.590,4.000
1,10,30,euclidean,true,0.062,1.863,4.632
1,10,35,euclidean,true,0.062,1.925,4.831
1,10,40,euclidean,true,0.062,2.045,5.311
1,10,45,euclidean,true,0.062,1.786,5.831
1,10,50,euclidean,true,0.062,1.817,6.479
1,10,5,manhattan,true,0.060,2.345,2.370
1,10,10,manhattan,true,0.062,2.188,2.406
1,10,15,manhattan,true,0.063,1.684,3.214
1,10,20,manhattan,true,0.063,1.746,4.535
1,10,25,manhattan,true,0.063,2.507,4.962
1,10,30,manhattan,true,0.062,1.700,4.172
1,10,35,manhattan,true,0.062,2.098,5.154
1,10,40,manhattan,true,0.063,1.802,5.382
1,10,45,manhattan,true,0.063,1.698,5.539
1,10,50,manhattan,true,0.063,1.684,6.419
1,7,5,euclidean,false,0.060,1.476,1.372
1,7,10,euclidean,false,0.062,1.528,2.035
1,7,15,euclidean,false,0.063,2.003,2.530
1,7,20,euclidean,false,0.063,1.522,2.476
