test_num,num_features,scaled,accuracy,train_t,test_t
1,10,false,0.002,0.685,0.387
1,10,true,0.002,0.698,0.389
1,7,false,0.002,0.657,0.331
1,7,true,0.002,0.666,0.340
1,4,false,0.012,0.593,0.271
1,4,true,0.012,0.576,0.268
1,1,false,0.021,0.384,0.104
1,1,true,0.021,0.382,0.107
2,10,false,0.002,0.727,0.393
2,10,true,0.002,0.713,0.400
2,7,false,0.002,0.661,0.334
2,7,true,0.002,0.651,0.335
2,4,false,0.012,0.583,0.268
2,4,true,0.012,0.589,0.273
2,1,false,0.021,0.378,0.102
2,1,true,0.021,0.371,0.102
3,10,false,0.002,0.676,0.388
3,10,true,0.002,0.665,0.389
3,7,false,0.002,0.658,0.335
3,7,true,0.002,0.659,0.338
3,4,false,0.012,0.605,0.270
3,4,true,0.012,0.578,0.269
3,1,false,0.021,0.376,0.125
3,1,true,0.021,0.373,0.101
4,10,false,0.002,0.706,0.393
4,10,true,0.002,0.672,0.397
4,7,false,0.002,0.658,0.335
4,7,true,0.002,0.649,0.341
4,4,false,0.012,0.599,0.270
4,4,true,0.012,0.580,0.270
4,1,false,0.021,0.383,0.116
4,1,true,0.021,0.371,0.102
5,10,false,0.002,0.714,0.390
5,10,true,0.002,0.668,0.403
5,7,false,0.002,0.658,0.331
5,7,true,0.002,0.658,0.336
5,4,false,0.012,0.571,0.265
5,4,true,0.012,0.565,0.262
5,1,false,0.021,0.372,0.101
5,1,true,0.021,0.406,0.109
