test_num,num_features,num_hidden_layers,num_neurons_per_layer,scaled,accuracy,train_t,test_t
1,10,5,5,false,0.370,4578.350,2.342
1,10,5,5,true,0.376,5984.707,2.179
1,10,5,10,false,0.379,6237.832,2.506
1,10,5,10,true,0.378,5730.443,2.886
1,10,5,15,false,0.342,6002.581,3.583
1,10,5,15,true,0.319,5720.738,3.441
1,10,5,20,false,0.330,5470.407,3.392
1,10,5,20,true,0.374,6763.744,3.389
1,10,5,25,false,0.318,5632.547,4.294
1,10,5,25,true,0.363,6295.283,4.420
1,10,5,30,false,0.346,8036.876,5.473
1,10,5,30,true,0.330,7227.214,4.680
1,10,5,35,false,0.281,4368.125,11.341
1,10,5,35,true,0.266,6445.310,10.133
1,10,5,40,false,0.311,12502.582,15.970
1,10,5,40,true,0.246,10346.187,9.745
1,10,5,45,false,0.338,13469.062,9.142
1,10,5,45,true,0.256,10695.268,11.916
1,7,10,10,false,0.374,6985.282,3.175
1,7,10,10,true,0.372,7230.670,3.592
1,7,10,20,false,0.368,9114.812,5.815
1,7,10,20,true,0.368,8592.949,6.759
1,7,10,30,false,0.365,8198.153,8.047
1,7,10,30,true,0.371,10817.774,9.204
1,7,10,40,false,0.358,16854.069,23.146
1,7,10,40,true,0.355,29127.153,32.281
1,7,10,50,false,0.331,43721.584,35.972
1,7,10,50,true,0.366,28675.367,26.437
1,7,10,60,false,0.351,30256.258,42.965
1,7,10,60,true,0.350,30217.727,48.488
1,7,10,70,false,0.324,28888.990,34.511
1,7,10,70,true,0.323,21746.923,28.258
1,7,10,80,false,0.313,30367.116,36.926
1,7,10,80,true,0.358,27708.195,34.309
1,7,10,90,false,0.358,30760.867,49.908
1,7,10,90,true,0.338,38905.305,38.043
1,4,15,15,false,0.382,6838.273,5.092
1,4,15,15,true,0.383,9120.967,4.579
1,4,15,30,false,0.387,7938.723,7.872
1,4,15,30,true,0.379,12438.624,7.791
1,4,15,45,false,0.356,27469.038,21.799
1,4,15,45,true,0.419,27296.666,26.764
1,4,15,60,false,0.406,29234.389,32.592
1,4,15,60,true,0.409,27152.478,33.217
1,4,15,75,false,0.431,33503.563,40.799
1,4,15,75,true,0.412,30996.220,41.867
1,4,15,90,false,0.377,43159.113,61.033
1,4,15,90,true,0.424,40432.214,61.423
1,4,15,105,false,0.452,56200.018,59.877
1,4,15,105,true,0.434,63747.028,92.693
1,4,15,120,false,0.460,63900.688,79.089
1,4,15,120,true,0.434,68331.118,89.580
1,4,15,135,false,0.396,73580.648,95.585
1,4,15,135,true,0.420,75045.946,91.733
1,1,20,20,false,0.400,14195.890,6.898
1,1,20,20,true,0.373,13352.734,6.542
1,1,20,40,false,0.406,19450.078,31.535
1,1,20,40,true,0.413,25389.700,25.092
1,1,20,60,false,0.429,30275.974,42.392
1,1,20,60,true,0.409,29923.996,41.423
1,1,20,80,false,0.433,41256.050,51.463
1,1,20,80,true,0.423,46849.717,52.904
1,1,20,100,false,0.407,50963.133,78.233
1,1,20,100,true,0.412,40650.143,78.398
1,1,20,120,false,0.400,75999.669,98.099
1,1,20,120,true,0.401,68404.370,97.292
1,1,20,140,false,0.433,89306.481,124.576
1,1,20,140,true,0.440,57619.442,120.753
1,1,20,160,false,0.381,133588.359,137.512
1,1,20,160,true,0.437,108484.800,136.380
1,1,20,180,false,0.419,128754.356,163.808
1,1,20,180,true,0.445,161471.954,176.439
2,10,5,5,false,0.348,4892.650,2.237
2,10,5,5,true,0.370,4710.698,2.349
2,10,5,10,false,0.368,5506.497,2.433
2,10,5,10,true,0.372,6115.361,2.476
2,10,5,15,false,0.367,5538.739,2.878
2,10,5,15,true,0.354,6065.505,2.729
2,10,5,20,false,0.356,6200.280,3.202
2,10,5,20,true,0.369,5473.298,3.069
2,10,5,25,false,0.361,6152.184,3.574
2,10,5,25,true,0.370,6228.604,3.706
2,10,5,30,false,0.297,6082.761,3.911
2,10,5,30,true,0.326,5804.653,4.044
2,10,5,35,false,0.341,7694.986,6.838
2,10,5,35,true,0.327,6170.577,7.087
2,10,5,40,false,0.282,10713.187,8.496
2,10,5,40,true,0.329,14022.442,9.078
2,10,5,45,false,0.317,13058.619,8.416
2,10,5,45,true,0.250,13350.699,11.574
2,7,10,10,false,0.378,9113.789,3.089
2,7,10,10,true,0.386,6892.352,3.018
2,7,10,20,false,0.365,6329.352,4.613
2,7,10,20,true,0.369,6606.372,4.216
2,7,10,30,false,0.362,7092.792,5.918
2,7,10,30,true,0.368,9112.107,6.011
2,7,10,40,false,0.347,24440.714,14.598
2,7,10,40,true,0.358,19871.228,14.826
2,7,10,50,false,0.384,19892.444,14.706
2,7,10,50,true,0.340,19428.355,15.664
2,7,10,60,false,0.324,20221.488,19.460
2,7,10,60,true,0.338,29374.901,17.782
2,7,10,70,false,0.330,25876.545,20.948
2,7,10,70,true,0.285,25178.069,24.253
2,7,10,80,false,0.310,36875.567,24.955
2,7,10,80,true,0.323,23819.921,28.396
2,7,10,90,false,0.330,29550.236,33.148
2,7,10,90,true,0.353,35306.102,31.072
2,4,15,15,false,0.380,8318.071,4.698
2,4,15,15,true,0.378,7197.163,4.626
2,4,15,30,false,0.387,8935.696,8.066
2,4,15,30,true,0.402,8625.070,8.570
2,4,15,45,false,0.394,27316.557,18.415
2,4,15,45,true,0.384,22015.233,20.205
2,4,15,60,false,0.426,37767.810,32.850
2,4,15,60,true,0.382,29954.046,34.284
2,4,15,75,false,0.401,36260.424,40.842
2,4,15,75,true,0.418,33788.057,34.367
2,4,15,90,false,0.438,48494.402,51.849
2,4,15,90,true,0.369,46755.802,48.812
2,4,15,105,false,0.392,40853.921,70.445
2,4,15,105,true,0.412,54918.092,69.444
2,4,15,120,false,0.424,58633.582,82.471
2,4,15,120,true,0.442,60040.699,71.833
2,4,15,135,false,0.453,68362.389,82.515
2,4,15,135,true,0.439,64057.215,89.241
2,1,20,20,false,0.390,14958.657,7.115
2,1,20,20,true,0.405,15576.207,6.748
2,1,20,40,false,0.367,24088.394,24.971
2,1,20,40,true,0.421,40768.314,22.115
2,1,20,60,false,0.425,33879.252,33.841
2,1,20,60,true,0.408,26607.924,30.972
2,1,20,80,false,0.429,51719.545,50.492
2,1,20,80,true,0.415,43745.210,57.632
2,1,20,100,false,0.434,57593.022,73.218
2,1,20,100,true,0.450,52497.244,80.109
2,1,20,120,false,0.447,88921.444,98.739
2,1,20,120,true,0.450,85371.201,108.899
2,1,20,140,false,0.436,87870.500,119.411
2,1,20,140,true,0.452,81923.963,123.790
2,1,20,160,false,0.442,117888.551,152.514
2,1,20,160,true,0.449,131449.363,178.078
2,1,20,180,false,0.455,175649.711,201.288
2,1,20,180,true,0.446,149207.243,185.942
3,10,5,5,false,0.371,6167.169,2.347
3,10,5,5,true,0.368,4945.494,2.500
3,10,5,10,false,0.347,6110.760,2.445
3,10,5,10,true,0.339,6587.525,2.517
3,10,5,15,false,0.359,6069.121,2.829
3,10,5,15,true,0.310,6229.509,2.832
3,10,5,20,false,0.348,5186.626,3.013
3,10,5,20,true,0.256,5355.218,3.175
3,10,5,25,false,0.314,6315.424,3.722
3,10,5,25,true,0.336,6486.945,3.842
3,10,5,30,false,0.335,6499.048,3.805
3,10,5,30,true,0.368,7861.383,4.238
3,10,5,35,false,0.318,6568.536,7.113
3,10,5,35,true,0.356,7109.530,5.953
3,10,5,40,false,0.243,9679.608,8.001
3,10,5,40,true,0.281,9063.325,8.163
3,10,5,45,false,0.260,9415.934,8.552
3,10,5,45,true,0.244,7683.286,8.580
3,7,10,10,false,0.381,7494.497,3.032
3,7,10,10,true,0.377,6439.902,3.182
3,7,10,20,false,0.366,6172.388,4.707
3,7,10,20,true,0.357,5994.468,4.773
3,7,10,30,false,0.345,8329.780,6.557
3,7,10,30,true,0.357,7609.269,6.750
3,7,10,40,false,0.335,18412.057,17.193
3,7,10,40,true,0.369,14130.976,14.991
3,7,10,50,false,0.295,21861.276,19.431
3,7,10,50,true,0.345,21610.878,17.250
3,7,10,60,false,0.304,20336.417,24.184
3,7,10,60,true,0.347,22417.955,24.550
3,7,10,70,false,0.330,28763.618,27.953
3,7,10,70,true,0.300,23182.864,29.874
3,7,10,80,false,0.333,24761.592,30.993
3,7,10,80,true,0.381,31145.203,33.276
3,7,10,90,false,0.342,37581.047,38.017
3,7,10,90,true,0.338,32839.744,38.229
3,4,15,15,false,0.391,7206.368,4.895
3,4,15,15,true,0.389,6963.303,4.848
3,4,15,30,false,0.400,9545.924,7.896
3,4,15,30,true,0.372,8741.570,8.634
3,4,15,45,false,0.389,25161.215,24.810
3,4,15,45,true,0.385,22257.902,22.542
3,4,15,60,false,0.384,29582.153,31.171
3,4,15,60,true,0.410,28862.071,30.232
3,4,15,75,false,0.408,32435.165,35.645
