test_num,num_features,num_trees,scaled,accuracy,train_t,test_t
1,10,5,false,0.696,319.253,13.284
1,10,5,true,0.694,318.294,9.684
1,10,10,false,0.716,628.312,19.403
1,10,10,true,0.715,653.596,19.702
1,10,15,false,0.715,994.074,30.192
1,10,15,true,0.720,1006.092,30.359
1,10,20,false,0.723,1387.029,42.688
1,10,20,true,0.726,1444.377,42.924
1,7,5,false,0.605,332.415,12.251
1,7,5,true,0.607,364.925,13.936
1,7,10,false,0.627,668.500,26.876
1,7,10,true,0.627,751.813,30.114
1,7,15,false,0.632,1014.864,38.716
1,7,15,true,0.632,902.591,32.769
1,7,20,false,0.635,1222.841,44.264
1,7,20,true,0.635,1272.820,52.207
1,4,5,false,0.541,363.790,12.474
1,4,5,true,0.537,321.627,12.238
1,4,10,false,0.557,623.126,25.217
1,4,10,true,0.557,607.981,23.009
1,4,15,false,0.562,913.104,34.336
1,4,15,true,0.562,932.020,35.298
1,4,20,false,0.565,1221.303,44.971
1,4,20,true,0.565,1234.066,48.941
1,1,5,false,0.356,233.614,13.841
1,1,5,true,0.355,253.845,16.133
1,1,10,false,0.357,554.564,32.504
1,1,10,true,0.355,542.697,33.949
1,1,15,false,0.353,758.672,43.856
1,1,15,true,0.355,715.225,41.992
1,1,20,false,0.354,957.745,54.870
1,1,20,true,0.354,959.617,52.810
2,10,5,false,0.695,368.501,12.178
2,10,5,true,0.701,384.670,11.994
2,10,10,false,0.718,753.161,23.224
2,10,10,true,0.714,807.399,24.135
2,10,15,false,0.718,1149.973,37.043
2,10,15,true,0.719,1122.112,36.222
2,10,20,false,0.722,1521.522,46.002
2,10,20,true,0.724,1590.549,49.685
2,7,5,false,0.603,335.863,13.112
2,7,5,true,0.606,361.037,13.160
2,7,10,false,0.625,700.612,25.484
2,7,10,true,0.629,681.073,25.270
2,7,15,false,0.630,1061.278,43.290
2,7,15,true,0.632,1042.552,38.421
2,7,20,false,0.639,1323.867,49.910
2,7,20,true,0.639,1240.082,46.779
2,4,5,false,0.539,325.752,12.114
2,4,5,true,0.539,304.891,11.647
2,4,10,false,0.558,607.897,22.702
2,4,10,true,0.556,611.346,22.559
2,4,15,false,0.562,959.973,36.039
2,4,15,true,0.561,917.092,34.602
2,4,20,false,0.567,1226.626,47.238
2,4,20,true,0.565,1234.267,48.128
2,1,5,false,0.355,227.043,13.126
2,1,5,true,0.358,226.270,14.228
2,1,10,false,0.357,479.096,29.213
2,1,10,true,0.354,528.808,29.065
2,1,15,false,0.354,778.557,45.202
2,1,15,true,0.354,790.813,47.984
