28858,10,26
Unknown,POP3,HTTP,MySQL,POPS,BitTorrent,IMAPS,Steam,ICMP,RDP,SSL,SSH,Facebook,Twitter,Dropbox,Skype,Google,Apple,OpenVPN,Amazon,QUIC,Starcraft,Teredo,Office365,Cloudflare,MS_OneDrive,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
146.255.197.186,80,192.168.187.82,65295,TCP,3661.000000,15140,366.100000,3.000000,2855.000000,1514,1514,1514,2731.494127,4135482.108713,HTTP,2
217.119.118.12,443,147.232.194.21,57313,UDP,5741.000000,13920,574.100000,325.000000,1365.000000,1392,1392,1392,1741.856819,2424664.692562,QUIC,20
147.232.177.0,0,195.168.55.14,0,ICMP,20544195.000000,4920,2054419.500000,999367.000000,12539185.000000,492,492,492,0.486756,239.483708,ICMP,8
172.113.10.0,6881,147.232.178.171,6881,UDP,182208986.000000,620,18220898.600000,2.000000,61888706.000000,62,62,62,0.054882,3.402686,Unknown,0
13.74.23.0,443,147.232.184.195,63997,TCP,55295231.000000,5392,5529523.100000,4.000000,55078418.000000,539,60,1514,0.180847,97.512930,Skype,15
54.198.165.0,443,147.232.184.195,41018,TCP,126670548.000000,780,12667054.800000,2.000000,42001784.000000,78,66,96,0.078945,6.157706,SSL,10
147.232.177.0,0,88.212.53.127,0,ICMP,1200415673.000000,700,120041567.300000,72788.000000,300224050.000000,70,70,70,0.008330,0.583131,ICMP,8
147.232.177.0,0,195.168.209.79,0,ICMP,1200342894.000000,700,120034289.400000,226466.000000,300081081.000000,70,70,70,0.008331,0.583167,ICMP,8
147.232.177.0,41556,88.212.53.127,1194,TCP,61187457.000000,2792,6118745.700000,1028.000000,27048916.000000,279,66,926,0.163432,45.630267,OpenVPN,18
147.232.177.0,43052,195.168.209.79,1194,TCP,90863462.000000,1310,9086346.200000,1124.000000,28600425.000000,131,66,233,0.110055,14.417236,OpenVPN,18
147.232.177.0,22,221.194.47.224,59718,TCP,4020166.000000,1844,402016.600000,376.000000,1847338.000000,184,66,898,2.487459,458.687527,SSH,11
147.232.177.0,22,41.204.9.121,61749,TCP,2901211.000000,2116,290121.100000,1364.000000,1778854.000000,211,66,898,3.446837,729.350606,SSH,11
147.232.177.0,22,221.194.47.233,44314,TCP,3869951.000000,1844,386995.100000,322.000000,1812243.000000,184,66,898,2.584012,476.491821,SSH,11
147.232.181.0,0,116.31.116.5,0,ICMP,121268515.000000,1020,12126851.500000,309669.000000,57896882.000000,102,102,102,0.082462,8.411087,ICMP,8
147.232.181.0,22,221.194.47.224,56325,TCP,20798791.000000,2551,2079879.100000,92.000000,19074868.000000,255,66,1010,0.480797,122.651360,SSH,11
147.232.181.0,41472,91.213.160.123,443,TCP,220609.000000,1380,22060.900000,4.000000,135156.000000,138,60,284,45.329066,6255.411157,SSL,10
147.232.181.0,54282,91.213.160.118,443,TCP,230204.000000,1653,23020.400000,33.000000,166069.000000,165,60,668,43.439732,7180.587653,SSL,10
147.232.181.0,54285,91.213.160.118,443,TCP,1807284.000000,1671,180728.400000,3.000000,1752019.000000,167,60,668,5.533165,924.591818,SSL,10
147.232.181.0,22,116.31.116.5,33832,TCP,3619507.000000,3482,361950.700000,15384.000000,971987.000000,348,66,1049,2.762807,962.009467,SSH,11
147.232.181.0,22,116.31.116.5,45072,TCP,1487412.000000,2551,148741.200000,35.000000,313695.000000,255,66,1010,6.723087,1715.059446,SSH,11
147.232.181.0,22,116.31.116.5,52833,TCP,1746543.000000,2551,174654.300000,88.000000,366334.000000,255,66,1010,5.725596,1460.599596,SSH,11
147.232.181.0,22,116.31.116.5,30802,TCP,1665712.000000,2551,166571.200000,82.000000,350332.000000,255,66,1010,6.003439,1531.477230,SSH,11
147.232.181.0,22,177.159.103.9,49529,TCP,2980936.000000,2551,298093.600000,440.000000,856118.000000,255,66,1010,3.354651,855.771476,SSH,11
147.232.181.0,22,116.31.116.5,12192,TCP,1585858.000000,2551,158585.800000,99.000000,334931.000000,255,66,1010,6.305735,1608.592951,SSH,11
147.232.181.0,22,221.194.47.233,44280,TCP,3839556.000000,2519,383955.600000,15702.000000,998315.000000,251,66,1010,2.604468,656.065441,SSH,11
147.232.181.0,41497,91.213.160.123,443,TCP,164434.000000,1380,16443.400000,24.000000,57763.000000,138,60,284,60.814673,8392.424924,SSL,10
147.232.181.0,35875,198.145.29.83,443,TCP,1086951.000000,1276,108695.100000,284.000000,253252.000000,127,66,295,9.200047,1173.925964,SSL,10
147.232.181.0,60456,172.217.23.211,80,TCP,62157.000000,826,6215.700000,3.000000,34633.000000,82,66,224,160.882925,13288.929646,Google,16
147.232.181.0,41523,91.213.160.123,443,TCP,174750.000000,1380,17475.000000,155.000000,87410.000000,138,60,284,57.224607,7896.995708,SSL,10
147.232.181.0,35900,198.145.29.83,443,TCP,1082693.000000,1276,108269.300000,266.000000,244196.000000,127,66,295,9.236229,1178.542763,SSL,10
147.232.181.0,52294,104.20.93.202,80,TCP,50675.000000,768,5067.500000,26.000000,34821.000000,76,60,214,197.335964,15155.402072,Cloudflare,24
147.232.181.0,54607,95.173.213.38,443,TCP,98938.000000,1458,9893.800000,262.000000,28025.000000,145,66,296,101.073400,14736.501647,SSL,10
147.232.181.0,60002,88.212.53.188,57827,UDP,6132370.000000,1619,613237.000000,46884.000000,1001695.000000,161,151,174,1.630691,264.008858,Amazon,19
147.232.181.0,35926,198.145.29.83,443,TCP,1080811.000000,1276,108081.100000,283.000000,240381.000000,127,66,295,9.252311,1180.594942,SSL,10
147.232.181.0,60002,88.212.53.188,53103,UDP,8270829.000000,1584,827082.900000,271632.000000,1001610.000000,158,152,167,1.209069,191.516473,Cloudflare,24
147.232.181.0,52320,104.20.93.202,80,TCP,52264.000000,768,5226.400000,23.000000,36375.000000,76,60,214,191.336293,14694.627277,Cloudflare,24
147.232.181.0,60002,88.212.53.188,62947,UDP,9000847.000000,1605,900084.700000,991290.000000,1001495.000000,160,151,167,1.111007,178.316552,Apple,17
147.232.181.0,54632,95.173.213.38,443,TCP,103471.000000,1470,10347.100000,44.000000,33485.000000,147,66,296,96.645437,14206.879222,SSL,10
147.232.181.0,39033,147.75.205.195,443,TCP,174310.000000,1461,17431.000000,2.000000,44330.000000,146,66,299,57.369055,8381.618955,SSL,10
147.232.181.0,54658,95.173.213.38,443,TCP,102726.000000,1458,10272.600000,143.000000,26133.000000,145,66,296,97.346339,14193.096198,SSL,10
147.232.181.0,39058,147.75.205.195,443,TCP,150128.000000,1461,15012.800000,4.000000,40355.000000,146,66,299,66.609826,9731.695620,SSL,10
147.232.181.0,43160,37.205.10.36,80,TCP,136982.000000,950,13698.200000,3.000000,94097.000000,95,66,222,73.002292,6935.217766,HTTP,2
147.232.181.0,43162,37.205.10.36,80,TCP,249558.000000,950,24955.800000,95.000000,160023.000000,95,66,222,40.070845,3806.730299,HTTP,2
147.232.181.0,1194,178.40.7.191,11015,UDP,139350.000000,1392,13935.000000,28.000000,68620.000000,139,64,168,71.761751,9989.235737,OpenVPN,18
